MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC_byChr	Cluster_5063_0	0.0308	0.0000	0.0909	0.0290	0.0909	0.0227	0.0352	0.0326	0.0414
mean_mC_byChr	Cluster_5064_0	0.0076	0.0000	NaN	0.0078	0.0134	0.0038	0.0072	0.0078	0.0098
mean_mC_byChr	Cluster_5065_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5066_0	0.0102	NaN	NaN	0.0102	0.0129	0.0167	0.0000	0.0102	0.0081
mean_mC_byChr	Cluster_5067_0	0.0120	0.0000	0.0000	0.0158	0.0460	0.0000	0.0032	0.0140	0.0210
mean_mC_byChr	Cluster_5068_0	0.0116	0.0333	0.0000	0.0111	0.0048	0.0137	0.0127	0.0106	0.0092
mean_mC_byChr	Cluster_5069_0	0.0043	0.0000	0.0000	0.0047	0.0058	0.0022	0.0050	0.0046	0.0053
mean_mC_byChr	Cluster_5069_1	0.0059	0.0000	0.0000	0.0070	0.0231	0.0000	0.0000	0.0064	0.0086
mean_mC_byChr	Cluster_506_0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5070_0	0.0102	0.0000	0.0444	0.0070	0.0442	0.0000	0.0077	0.0109	0.0143
mean_mC_byChr	Cluster_5071_0	0.0204	NaN	0.0000	0.0226	0.0371	0.0000	0.0085	0.0204	0.0264
mean_mC_byChr	Cluster_5071_1	0.0083	NaN	0.0000	0.0087	0.0038	0.0333	0.0095	0.0083	0.0058
mean_mC_byChr	Cluster_5072_0	0.0164	0.0000	0.0000	0.0177	0.0292	0.0000	0.0136	0.0170	0.0210
mean_mC_byChr	Cluster_5074_0	0.0079	0.0000	0.0000	0.0089	0.0268	0.0143	0.0000	0.0082	0.0067
mean_mC_byChr	Cluster_5075_0	0.0122	0.0000	0.0000	0.0139	0.0262	0.0056	0.0120	0.0126	0.0148
mean_mC_byChr	Cluster_5076_0	0.0123	0.0667	0.0000	0.0115	0.0000	0.0000	0.0165	0.0102	0.0126
mean_mC_byChr	Cluster_5076_1	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5077_0	0.0107	NaN	NaN	0.0107	0.0321	0.0000	0.0000	0.0107	0.0160
mean_mC_byChr	Cluster_5078_0	0.0129	0.0455	0.0000	0.0104	0.0083	0.0000	0.0167	0.0093	0.0111
mean_mC_byChr	Cluster_5079_0	0.0198	0.0000	0.0000	0.0234	0.0323	0.0069	0.0270	0.0211	0.0301
mean_mC_byChr	Cluster_5080_0	0.0119	0.0000	0.0455	0.0083	0.0000	0.0000	0.0239	0.0136	0.0174
mean_mC_byChr	Cluster_5081_0	0.0083	0.0000	0.0333	0.0000	NaN	0.0250	0.0000	0.0100	0.0000
mean_mC_byChr	Cluster_5082_0	0.0231	0.0159	NaN	0.0238	0.0296	0.0000	0.0315	0.0238	0.0303
mean_mC_byChr	Cluster_5083_0	0.0226	0.0333	0.0000	0.0234	0.0501	0.0060	0.0073	0.0222	0.0273
mean_mC_byChr	Cluster_5084_0	0.0014	NaN	0.0000	0.0015	0.0000	0.0000	0.0025	0.0014	0.0017
mean_mC_byChr	Cluster_5085_0	0.0082	0.0027	0.0062	0.0109	0.0130	0.0149	0.0075	0.0102	0.0090
mean_mC_byChr	Cluster_5085_1	0.0113	0.0155	0.0033	0.0105	0.0000	0.0214	0.0071	0.0093	0.0047
mean_mC_byChr	Cluster_5087_0	0.0000	0.0000	NaN	0.0000	NaN	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_5087_1	0.0148	0.0156	0.0000	0.0162	0.0000	NaN	0.0231	0.0147	0.0147
mean_mC_byChr	Cluster_5087_2	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
