MethStat	context	C	CG	CHG	CHH	CA	CC	CT	CH	CW
mean_mC_byChr	Cluster_917_15434	0.0027	0.0000	0.0000	0.0047	0.0027	0.0045	0.0043	0.0035	0.0034
mean_mC_byChr	Cluster_917_15437	0.0080	0.0325	0.0000	0.0023	0.0000	0.0000	0.0042	0.0020	0.0027
mean_mC_byChr	Cluster_917_15438	0.0029	0.0022	0.0020	0.0032	0.0036	0.0059	0.0012	0.0031	0.0025
mean_mC_byChr	Cluster_917_1544	0.0068	0.0355	0.0000	0.0026	0.0036	0.0000	0.0021	0.0023	0.0028
mean_mC_byChr	Cluster_917_15440	0.0024	0.0032	0.0000	0.0021	0.0000	0.0000	0.0057	0.0019	0.0025
mean_mC_byChr	Cluster_917_15441	0.0056	0.0046	0.0065	0.0058	0.0060	0.0045	0.0067	0.0060	0.0064
mean_mC_byChr	Cluster_917_15442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15443	0.0054	0.0033	0.0036	0.0063	0.0074	0.0042	0.0051	0.0059	0.0063
mean_mC_byChr	Cluster_917_15444	0.0025	0.0015	0.0020	0.0029	0.0027	0.0028	0.0027	0.0029	0.0027
mean_mC_byChr	Cluster_917_15445	0.0079	0.0000	0.0000	0.0132	0.0455	0.0064	0.0115	0.0115	0.0139
mean_mC_byChr	Cluster_917_15446	0.0057	0.0030	0.0075	0.0077	0.0078	0.0083	0.0071	0.0076	0.0074
mean_mC_byChr	Cluster_917_15447	0.0126	0.1429	0.0000	0.0063	0.0045	0.0000	0.0091	0.0059	0.0068
mean_mC_byChr	Cluster_917_15448	0.0024	0.0014	0.0014	0.0028	0.0037	0.0016	0.0022	0.0026	0.0029
mean_mC_byChr	Cluster_917_15449	0.0306	0.2283	0.0000	0.0039	0.0012	0.0000	0.0066	0.0033	0.0037
mean_mC_byChr	Cluster_917_1545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15450	0.0183	0.0894	0.0000	0.0026	0.0026	0.0044	0.0004	0.0022	0.0015
mean_mC_byChr	Cluster_917_15451	0.0050	0.0009	0.0102	0.0051	0.0068	0.0068	0.0050	0.0061	0.0059
mean_mC_byChr	Cluster_917_15452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15454	0.0027	0.0031	0.0010	0.0029	0.0036	0.0011	0.0021	0.0026	0.0029
mean_mC_byChr	Cluster_917_15455	0.0011	0.0049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15456	0.0058	0.0069	0.0025	0.0060	0.0028	0.0087	0.0061	0.0055	0.0045
mean_mC_byChr	Cluster_917_15457	0.0000	NaN	NaN	0.0000	NaN	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15458	0.0044	0.0015	0.0083	0.0050	0.0073	0.0086	0.0031	0.0054	0.0046
mean_mC_byChr	Cluster_917_1546	0.0024	0.0008	0.0006	0.0038	0.0027	0.0040	0.0025	0.0030	0.0026
mean_mC_byChr	Cluster_917_15462	0.0250	NaN	NaN	0.0250	NaN	0.1000	0.0000	0.0250	0.0000
mean_mC_byChr	Cluster_917_15463	0.0069	0.0045	0.0046	0.0082	0.0088	0.0089	0.0064	0.0076	0.0073
mean_mC_byChr	Cluster_917_15465	0.0249	NaN	0.0000	0.0264	0.0583	0.0280	0.0188	0.0249	0.0242
mean_mC_byChr	Cluster_917_15467	0.0057	0.0116	0.0031	0.0039	0.0039	0.0040	0.0033	0.0037	0.0036
mean_mC_byChr	Cluster_917_15468	0.0031	0.0020	0.0033	0.0037	0.0042	0.0014	0.0049	0.0035	0.0045
mean_mC_byChr	Cluster_917_1547	0.0023	0.0024	0.0000	0.0027	0.0023	0.0000	0.0032	0.0023	0.0027
mean_mC_byChr	Cluster_917_15470	0.0017	0.0010	0.0022	0.0019	0.0030	0.0012	0.0014	0.0019	0.0022
mean_mC_byChr	Cluster_917_15472	0.0048	0.0118	0.0013	0.0036	0.0037	0.0036	0.0026	0.0033	0.0032
mean_mC_byChr	Cluster_917_15474	0.0184	0.0844	0.0000	0.0027	0.0052	0.0000	0.0000	0.0019	0.0025
mean_mC_byChr	Cluster_917_15476	0.0059	0.0000	0.0000	0.0076	0.0022	0.0101	0.0098	0.0062	0.0055
mean_mC_byChr	Cluster_917_15477	0.0000	NaN	NaN	0.0000	0.0000	NaN	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_1548	0.0178	0.8462	0.0000	0.0033	0.0017	0.0125	0.0000	0.0028	0.0011
mean_mC_byChr	Cluster_917_15481	0.0022	0.0004	0.0039	0.0025	0.0039	0.0034	0.0010	0.0028	0.0027
mean_mC_byChr	Cluster_917_15483	0.0033	0.0030	0.0027	0.0035	0.0039	0.0021	0.0036	0.0034	0.0038
mean_mC_byChr	Cluster_917_15484	0.0033	0.0036	0.0029	0.0032	0.0028	0.0044	0.0027	0.0032	0.0028
mean_mC_byChr	Cluster_917_15485	0.0165	0.7420	0.0053	0.0014	0.0031	0.0000	0.0018	0.0021	0.0027
mean_mC_byChr	Cluster_917_15486	0.0000	0.0000	NaN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15488	0.0040	0.0128	0.0000	0.0020	0.0032	0.0035	0.0000	0.0018	0.0015
mean_mC_byChr	Cluster_917_15489	0.0067	0.0056	0.0047	0.0081	0.0054	0.0066	0.0088	0.0073	0.0077
mean_mC_byChr	Cluster_917_15491	0.0020	0.0026	0.0016	0.0018	0.0021	0.0005	0.0020	0.0018	0.0020
mean_mC_byChr	Cluster_917_15492	0.0138	NaN	NaN	0.0138	0.0000	0.0114	0.0177	0.0138	0.0151
mean_mC_byChr	Cluster_917_15494	0.0008	0.0011	0.0000	0.0008	0.0000	0.0000	0.0021	0.0006	0.0009
mean_mC_byChr	Cluster_917_15495	0.0195	0.0000	NaN	0.0211	0.0227	0.0303	0.0143	0.0211	0.0180
mean_mC_byChr	Cluster_917_15496	0.0035	0.0014	0.0001	0.0048	0.0050	0.0033	0.0036	0.0041	0.0043
mean_mC_byChr	Cluster_917_15497	0.0024	0.0013	0.0015	0.0032	0.0039	0.0015	0.0019	0.0028	0.0030
mean_mC_byChr	Cluster_917_15498	0.0029	0.0029	0.0015	0.0033	0.0031	0.0027	0.0028	0.0029	0.0029
mean_mC_byChr	Cluster_917_15499	0.0049	0.0090	0.0026	0.0040	0.0038	0.0033	0.0040	0.0038	0.0039
mean_mC_byChr	Cluster_917_155	0.0025	0.0032	0.0000	0.0030	0.0028	0.0052	0.0000	0.0021	0.0016
mean_mC_byChr	Cluster_917_15500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
mean_mC_byChr	Cluster_917_15501	0.0040	NaN	0.0000	0.0042	0.0000	0.0167	0.0000	0.0040	0.0000
mean_mC_byChr	Cluster_917_15502	0.0339	0.1149	0.0179	0.0047	0.0092	0.0079	0.0036	0.0069	0.0065
mean_mC_byChr	Cluster_917_15503	0.0042	0.0054	0.0043	0.0037	0.0058	0.0040	0.0016	0.0038	0.0037
mean_mC_byChr	Cluster_917_15504	0.0029	0.0030	0.0006	0.0034	0.0034	0.0015	0.0033	0.0029	0.0033
mean_mC_byChr	Cluster_917_15506	0.0022	0.0010	0.0024	0.0027	0.0034	0.0028	0.0018	0.0027	0.0026
mean_mC_byChr	Cluster_917_15507	0.0146	0.0774	0.0059	0.0032	0.0043	0.0038	0.0029	0.0037	0.0037
mean_mC_byChr	Cluster_917_15508	0.0061	0.0029	0.0040	0.0080	0.0055	0.0069	0.0091	0.0075	0.0078
mean_mC_byChr	Cluster_917_15509	0.0027	0.0027	0.0018	0.0031	0.0044	0.0012	0.0022	0.0028	0.0032
